City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,65.55,78.0,0.0,1.01,US,1717558013.0
1,adamstown,-25.066,-130.1015,71.49,79.0,100.0,7.25,PN,1717557747.0
2,keflavik,64.0049,-22.5624,40.91,70.0,75.0,29.93,IS,1717558180.0
3,bredasdorp,-34.5322,20.0403,60.19,88.0,100.0,15.3,ZA,1717557751.0
4,port alfred,-33.5906,26.891,61.81,86.0,95.0,19.93,ZA,1717558180.0
5,margaret river,-33.95,115.0667,68.04,63.0,100.0,15.12,AU,1717558180.0
6,hamilton,39.1834,-84.5333,73.99,84.0,20.0,10.36,US,1717557842.0
7,port-aux-francais,-49.35,70.2167,37.71,80.0,99.0,28.5,TF,1717557746.0
8,ji'an,27.1172,114.9793,63.52,96.0,100.0,3.78,CN,1717558180.0
9,san patricio,28.017,-97.5169,85.95,82.0,1.0,18.32,US,1717558181.0
10,grytviken,-54.2811,-36.5092,27.84,80.0,34.0,9.71,GS,1717557748.0
11,tazacorte,28.629,-17.9293,67.17,91.0,75.0,5.01,ES,1717558181.0
12,dryden,49.7833,-92.7503,62.89,100.0,100.0,11.5,CA,1717558181.0
13,bilibino,68.0546,166.4372,53.37,63.0,100.0,6.73,RU,1717557750.0
14,tiksi,71.6872,128.8694,50.25,64.0,49.0,4.25,RU,1717558028.0
15,iqaluit,63.7506,-68.5145,33.53,86.0,100.0,10.36,CA,1717557748.0
16,puerto natales,-51.7236,-72.4875,28.76,89.0,100.0,3.0,CL,1717558181.0
17,kusong,39.9811,125.2447,77.27,43.0,93.0,5.55,KP,1717558181.0
18,lukolela,-1.0605,17.1821,70.74,97.0,100.0,2.95,CD,1717558181.0
19,badger,64.8,-147.5333,69.67,69.0,75.0,4.61,US,1717558182.0
20,blackmans bay,-43.0167,147.3167,56.73,67.0,61.0,1.01,AU,1717557749.0
21,waitangi,-43.9535,-176.5597,47.82,89.0,97.0,3.0,NZ,1717558182.0
22,mersa matruh,31.3525,27.2453,74.46,59.0,0.0,6.89,EG,1717558182.0
23,maceio,-9.6658,-35.7353,76.44,94.0,75.0,9.22,BR,1717558182.0
24,jamestown,42.097,-79.2353,73.04,72.0,0.0,4.61,US,1717558182.0
25,codrington,-38.2667,141.9667,56.43,64.0,36.0,7.07,AU,1717558182.0
26,port lincoln,-34.7333,135.8667,58.01,82.0,40.0,9.19,AU,1717558182.0
27,hasaki,35.7333,140.8333,77.29,69.0,1.0,12.24,JP,1717558183.0
28,mounana,-1.4085,13.1586,68.49,95.0,80.0,1.57,GA,1717558183.0
29,qaqortoq,60.7167,-46.0333,41.05,94.0,98.0,2.13,GL,1717557749.0
30,taiohae,,,,,,,,
31,ilulissat,69.2167,-51.1,30.09,86.0,100.0,2.42,GL,1717558183.0
32,uzgen,40.7699,73.3007,70.83,45.0,100.0,2.86,KG,1717558183.0
33,hadibu,12.65,54.0333,83.7,78.0,37.0,14.58,YE,1717558183.0
34,albany,42.6001,-73.9662,73.81,76.0,98.0,1.99,US,1717558060.0
35,gbarnga,6.9956,-9.4722,73.4,100.0,77.0,1.79,LR,1717558183.0
36,stanley,54.868,-1.6985,41.29,83.0,0.0,14.97,GB,1717557747.0
37,yellowknife,62.456,-114.3525,57.42,60.0,20.0,16.11,CA,1717558184.0
38,tura,25.5198,90.2201,83.25,78.0,9.0,1.81,IN,1717558184.0
39,baker city,44.7749,-117.8344,71.31,43.0,75.0,8.05,US,1717558184.0
40,hola,51.5377,23.1902,59.18,98.0,100.0,6.46,PL,1717558184.0
41,alice springs,-23.7,133.8833,54.95,76.0,100.0,12.66,AU,1717558184.0
42,ushuaia,-54.8,-68.3,35.26,87.0,75.0,3.44,AR,1717558051.0
43,iskateley,67.6803,53.1512,44.02,73.0,8.0,8.99,RU,1717558025.0
44,east london,-33.0153,27.9116,56.34,94.0,100.0,9.22,ZA,1717558184.0
45,egilsstadir,65.2653,-14.3948,35.51,87.0,75.0,6.91,IS,1717558185.0
46,sibut,5.718,19.0739,72.45,93.0,96.0,0.92,CF,1717558185.0
47,puerto ayora,-0.7393,-90.3518,71.55,99.0,56.0,5.06,EC,1717558076.0
48,mwingi,-0.9344,38.0601,63.86,95.0,88.0,4.68,KE,1717558185.0
49,constantia,44.1833,28.65,65.08,79.0,25.0,10.8,RO,1717558185.0
